[INFO] 2024-04-17 13:21:59,407 basehttp: "GET /admin/workflow/testmodel/ HTTP/1.1" 200 12692
[INFO] 2024-04-17 13:22:16,472 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:23:23,625 basehttp: "GET /admin/ HTTP/1.1" 200 15355
[INFO] 2024-04-17 13:23:25,254 basehttp: "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
[INFO] 2024-04-17 13:23:25,298 basehttp: "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 13:23:25,301 basehttp: "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:23:25,329 basehttp: "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 13:23:25,332 basehttp: "GET /static/jazzmin/js/main.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:23:25,334 basehttp: "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:23:25,359 basehttp: "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
[INFO] 2024-04-17 13:23:25,367 basehttp: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:23:25,833 basehttp: "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
[INFO] 2024-04-17 13:23:25,833 basehttp: "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
[INFO] 2024-04-17 13:44:50,485 basehttp: "GET /admin/ HTTP/1.1" 200 17604
[INFO] 2024-04-17 13:45:10,392 basehttp: "GET /admin/jobs/jobsmodel/ HTTP/1.1" 200 12957
[INFO] 2024-04-17 13:45:10,672 basehttp: "GET /static/vendor/select2/css/select2.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:10,752 basehttp: "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:10,765 basehttp: "GET /static/admin/js/core.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:10,768 basehttp: "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:10,788 basehttp: "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:10,793 basehttp: "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:10,796 basehttp: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:10,804 basehttp: "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:10,805 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:45:10,836 basehttp: "GET /static/vendor/select2/js/select2.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:10,858 basehttp: "GET /static/jazzmin/js/change_list.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:15,533 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 200 27505
[INFO] 2024-04-17 13:45:15,740 basehttp: "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:15,822 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:45:15,833 basehttp: "GET /static/jazzmin/js/change_form.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:15,851 basehttp: "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:45:33,234 basehttp: "GET /admin/jobs/jobsmodel/ HTTP/1.1" 200 12957
[INFO] 2024-04-17 13:45:33,455 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:46:03,162 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 200 27505
[INFO] 2024-04-17 13:46:03,478 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:47:23,774 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 200 26439
[INFO] 2024-04-17 13:47:24,153 basehttp: "GET /static/modeltranslation/css/tabbed_translation_fields.css HTTP/1.1" 304 0
[INFO] 2024-04-17 13:47:24,173 basehttp: "GET /static/modeltranslation/js/tabbed_translation_fields.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:47:24,205 basehttp: "GET /static/modeltranslation/js/force_jquery.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:47:24,246 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:50:39,342 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 200 26439
[INFO] 2024-04-17 13:50:39,718 basehttp: "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 13:50:39,727 basehttp: "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 13:50:39,751 basehttp: "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
[INFO] 2024-04-17 13:50:39,790 basehttp: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:50:39,930 basehttp: "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:50:39,930 basehttp: "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
[INFO] 2024-04-17 13:50:39,975 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
